TREATMENT;plot;year;cover
Mowing;1;1;92
Mowing;2;1;78
Mowing;3;1;84
Mowing;4;1;72
Mowing;1;2;78
Mowing;2;2;76
Mowing;3;2;79
Mowing;4;2;75
Mowing;1;3;72
Mowing;2;3;60
Mowing;3;3;68
Mowing;4;3;76
Mowing;1;4;58
Mowing;2;4;50
Mowing;3;4;55
Mowing;4;4;54
Mowing;1;5;48
Mowing;2;5;37
Mowing;3;5;51
Mowing;4;5;40
Mowing;1;6;25
Mowing;2;6;28
Mowing;3;6;28
Mowing;4;6;36
Control;5;1;75
Control;6;1;88
Control;7;1;70
Control;8;1;84
Control;5;2;68
Control;6;2;92
Control;7;2;84
Control;8;2;92
Control;5;3;80
Control;6;3;92
Control;7;3;88
Control;8;3;84
Control;5;4;88
Control;6;4;88
Control;7;4;76
Control;8;4;92
Control;5;5;92
Control;6;5;82
Control;7;5;88
Control;8;5;90
Control;5;6;85
Control;6;6;88
Control;7;6;87
Control;8;6;75
