id;spe.num;slope;elevation;precipitation
1051;46;30.176861;200;1414.778675
1052;48;13.041138;200;1410.336205
1053;;23.970463;280;1399.828518
1054;48;27.84758;320;1398.078876
1055;40;11.366803;340;1394.806269
1056;44;14.593801;360;1378.294693
1057;32;24.912096;400;1308.407599
1058;38;13.865847;400;1295.889405
1059;50;20.130363;400;1290.271676
1060;48;20.883213;440;1286.659753
1061;38;20.79118;480;1285.213128
1062;30;23.568192;520;1279.699782
1063;34;13.493692;520;1138.510383
1064;;14.858771;520;1137.679033
1065;40;30.414751;520;1136.32005
1066;38;20.802862;560;1133.788688
1067;40;;560;1131.66685
1068;24;39.538349;640;1123.895559
1069;28;22.256964;640;1122.674247
1070;30;27.097904;;1122.650657
1071;36;28.428532;680;1115.896777
1072;36;31.058205;680;1111.146191
1073;40;9.187837;680;1105.920148
1074;24;30.002905;720;1105.384494
1075;34;27.483419;720;1104.590356
1076;28;28.433157;800;1099.817072
1077;28;29.595196;800;
1078;48;19.571701;800;1097.150207
1079;26;;840;1096.551319
1080;24;24.184504;920;1094.114367
1081;36;12.205475;920;1094.104094
1082;22;26.404369;960;1093.19646
1083;28;42.082977;1000;1089.784418
1084;22;32.730545;1040;1089.200325
1085;18;21.452196;1080;1088.688109
1086;30;40.963612;1080;1086.723482
1087;20;43.210388;1120;1084.437527
1088;26;46.799202;1120;1080.310173
1089;34;27.62204;1200;1077.900965
1090;;37.971714;1280;1070.178843
1091;20;27.780106;1320;1069.670676
1092;24;20.620157;1360;1060.559379
1093;16;36.30526;1400;1057.634226
1094;26;3.756744;1520;1055.111591
1095;32;33.522663;1600;1054.261706
1096;26;;1680;965.622407
1097;8;35.127598;1700;
1098;14;28.530304;1840;938.284315
1099;14;38.503685;1860;936.3754
1100;8;42.359802;2400;995.619276
